Row ID,order_id,order_date,ship_date,customer_id,city,product_id,category,product_name,sales,quantity,profit
1,CA-2016-152156,11-08-2016,11-11-2016,CG-12520,Henderson,FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase,261.96,2,41.9136
2,CA-2016-152156,11-08-2016,11-11-2016,CG-12520,Henderson,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,219.582
3,CA-2016-138688,06-12-2016,6/16/2016,DV-13045,Los Angeles,OFF-LA-10000240,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,6.8714
4,US-2015-108966,10-11-2015,10/18/2015,SO-20335,Fort Lauderdale,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,-383.031
5,US-2015-108966,10-11-2015,10/18/2015,SO-20335,Fort Lauderdale,OFF-ST-10000760,Office Supplies,Eldon Fold 'N Roll Cart System,22.368,2,2.5164
6,CA-2014-115812,06-09-2014,6/14/2014,BH-11710,Los Angeles,FUR-FU-10001487,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.1694
7,CA-2014-115812,06-09-2014,6/14/2014,BH-11710,Los Angeles,OFF-AR-10002833,Office Supplies,Newell 322,7.28,4,1.9656
8,CA-2014-115812,06-09-2014,6/14/2014,BH-11710,Los Angeles,TEC-PH-10002275,Technology,Mitel 5320 IP Phone VoIP phone,907.152,6,90.7152
9,CA-2014-115812,06-09-2014,6/14/2014,BH-11710,Los Angeles,OFF-BI-10003910,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,5.7825
10,CA-2014-115812,06-09-2014,6/14/2014,BH-11710,Los Angeles,OFF-AP-10002892,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,34.47
11,CA-2014-115812,06-09-2014,6/14/2014,BH-11710,Los Angeles,FUR-TA-10001539,Furniture,Chromcraft Rectangular Conference Tables,1706.184,9,85.3092
12,CA-2014-115812,06-09-2014,6/14/2014,BH-11710,Los Angeles,TEC-PH-10002033,Technology,Konftel 250 Conference phone - Charcoal black,911.424,4,68.3568
13,CA-2017-114412,4/15/2017,4/20/2017,AA-10480,Concord,OFF-PA-10002365,Office Supplies,Xerox 1967,15.552,3,5.4432
14,CA-2016-161389,12-05-2016,12-10-2016,IM-15070,Seattle,OFF-BI-10003656,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,132.5922
15,US-2015-118983,11/22/2015,11/26/2015,HP-14815,Fort Worth,OFF-AP-10002311,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,-123.858
16,US-2015-118983,11/22/2015,11/26/2015,HP-14815,Fort Worth,OFF-BI-10000756,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,-3.816
17,CA-2014-105893,11-11-2014,11/18/2014,PK-19075,Madison,OFF-ST-10004186,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,13.3176
18,CA-2014-167164,5/13/2014,5/15/2014,AG-10270,West Jordan,OFF-ST-10000107,Office Supplies,Fellowes Super Stor/Drawer,55.5,2,9.99
19,CA-2014-143336,8/27/2014,09-01-2014,ZD-21925,San Francisco,OFF-AR-10003056,Office Supplies,Newell 341,8.56,2,2.4824
20,CA-2014-143336,8/27/2014,09-01-2014,ZD-21925,San Francisco,TEC-PH-10001949,Technology,Cisco SPA 501G IP Phone,213.48,3,16.011
21,CA-2014-143336,8/27/2014,09-01-2014,ZD-21925,San Francisco,OFF-BI-10002215,Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.384
22,CA-2016-137330,12-09-2016,12/13/2016,KB-16585,Fremont,OFF-AR-10000246,Office Supplies,Newell 318,19.46,7,5.0596
23,CA-2016-137330,12-09-2016,12/13/2016,KB-16585,Fremont,OFF-AP-10001492,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,15.6884
24,US-2017-156909,7/16/2017,7/18/2017,SF-20065,Philadelphia,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray",71.372,2,-1.0196
25,CA-2015-106320,9/25/2015,9/30/2015,EB-13870,Orem,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,240.2649
26,CA-2016-121755,1/16/2016,1/20/2016,EH-13945,Los Angeles,OFF-BI-10001634,Office Supplies,Wilson Jones Active Use Binders,11.648,2,4.2224
27,CA-2016-121755,1/16/2016,1/20/2016,EH-13945,Los Angeles,TEC-AC-10003027,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,11.7741
28,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Philadelphia,FUR-BO-10004834,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,-1665.0522
29,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Philadelphia,OFF-BI-10000474,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,-7.0532
30,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Philadelphia,FUR-FU-10004848,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,15.525
31,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Philadelphia,OFF-EN-10001509,Office Supplies,Poly String Tie Envelopes,3.264,2,1.1016
32,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Philadelphia,OFF-AR-10004042,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,9.7092
33,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Philadelphia,OFF-BI-10001525,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,-5.715
34,US-2015-150630,9/17/2015,9/21/2015,TB-21520,Philadelphia,OFF-AR-10001683,Office Supplies,Lumber Crayons,15.76,2,3.546
35,CA-2017-107727,10/19/2017,10/23/2017,MA-17560,Houston,OFF-PA-10000249,Office Supplies,Easy-staple paper,29.472,3,9.9468
36,CA-2016-117590,12-08-2016,12-10-2016,GH-14485,Richardson,TEC-PH-10004977,Technology,GE 30524EE4,1097.544,7,123.4737
37,CA-2016-117590,12-08-2016,12-10-2016,GH-14485,Richardson,FUR-FU-10003664,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,-147.963
38,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Houston,OFF-EN-10002986,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,35.415
39,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Houston,FUR-BO-10002545,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,-46.9764
40,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Houston,FUR-CH-10004218,Furniture,"Global Fabric Manager's Chair, Dark Gray",212.058,3,-15.147
41,CA-2015-117415,12/27/2015,12/31/2015,SN-20710,Houston,TEC-PH-10000486,Technology,Plantronics HL10 Handset Lifter,371.168,4,41.7564
42,CA-2017-120999,09-10-2017,9/15/2017,LC-16930,Naperville,TEC-PH-10004093,Technology,Panasonic Kx-TS550,147.168,4,16.5564
43,CA-2016-101343,7/17/2016,7/22/2016,RA-19885,Los Angeles,OFF-ST-10003479,Office Supplies,"Eldon Base for stackable storage shelf, platinum",77.88,2,3.894
44,CA-2017-139619,9/19/2017,9/23/2017,ES-14080,Melbourne,OFF-ST-10003282,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,9.5616
45,CA-2016-118255,03-11-2016,3/13/2016,ON-18715,Eagan,TEC-AC-10000171,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,19.7714
46,CA-2016-118255,03-11-2016,3/13/2016,ON-18715,Eagan,OFF-BI-10003291,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,8.2062
47,CA-2014-146703,10/20/2014,10/25/2014,PO-18865,Westland,OFF-ST-10001713,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,8.4784
48,CA-2016-169194,6/20/2016,6/25/2016,LH-16900,Dover,TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,4.95
49,CA-2016-169194,6/20/2016,6/25/2016,LH-16900,Dover,TEC-PH-10003988,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,6.104
50,CA-2015-115742,4/18/2015,4/22/2015,DP-13000,New Albany,OFF-BI-10004410,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,17.9634
51,CA-2015-115742,4/18/2015,4/22/2015,DP-13000,New Albany,OFF-LA-10002762,Office Supplies,Avery 485,75.18,6,35.3346
52,CA-2015-115742,4/18/2015,4/22/2015,DP-13000,New Albany,FUR-FU-10001706,Furniture,Longer-Life Soft White Bulbs,6.16,2,2.9568
53,CA-2015-115742,4/18/2015,4/22/2015,DP-13000,New Albany,FUR-CH-10003061,Furniture,"Global Leather Task Chair, Black",89.99,1,17.0981
54,CA-2016-105816,12-11-2016,12/17/2016,JM-15265,New York City,OFF-FA-10000304,Office Supplies,Advantus Push Pins,15.26,7,6.2566
55,CA-2016-105816,12-11-2016,12/17/2016,JM-15265,New York City,TEC-PH-10002447,Technology,AT&T CL83451 4-Handset Telephone,1029.95,5,298.6855
56,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Troy,OFF-ST-10000604,Office Supplies,Home/Office Personal File Carts,208.56,6,52.14
57,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Troy,OFF-PA-10001569,Office Supplies,Xerox 232,32.4,5,15.552
58,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Troy,FUR-CH-10003968,Furniture,Novimex Turbo Task Chair,319.41,5,7.098
59,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Troy,OFF-PA-10000587,Office Supplies,"Array Parchment Paper, Assorted Colors",14.56,2,6.9888
60,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Troy,TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,3.3
61,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Troy,OFF-BI-10001460,Office Supplies,Plastic Binding Combs,48.48,4,16.362
62,CA-2016-111682,6/17/2016,6/18/2016,TB-21055,Troy,OFF-AR-10001868,Office Supplies,Prang Dustless Chalk Sticks,1.68,1,0.84
63,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,Los Angeles,TEC-AC-10004633,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.1512
64,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,Los Angeles,OFF-BI-10001078,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,9.3612
65,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,Los Angeles,OFF-PA-10003892,Office Supplies,Xerox 1943,146.73,3,68.9631
66,CA-2015-135545,11/24/2015,11/30/2015,KM-16720,Los Angeles,FUR-FU-10000397,Furniture,Luxo Economy Swing Arm Lamp,79.76,4,22.3328
67,US-2015-164175,4/30/2015,05-05-2015,PS-18970,Chicago,FUR-CH-10001146,Furniture,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,-15.2225
68,CA-2014-106376,12-05-2014,12-10-2014,BS-11590,Gilbert,OFF-AR-10002671,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,111.3024
69,CA-2014-106376,12-05-2014,12-10-2014,BS-11590,Gilbert,TEC-PH-10002726,Technology,netTALK DUO VoIP Telephone Service,167.968,4,62.988
70,CA-2016-119823,06-04-2016,06-06-2016,KD-16270,Springfield,OFF-PA-10000482,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,35.6636
71,CA-2016-106075,9/18/2016,9/23/2016,HM-14980,New York City,OFF-BI-10004654,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,1.731
72,CA-2017-114440,9/14/2017,9/17/2017,TB-21520,Jackson,OFF-PA-10004675,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,8.763
73,US-2015-134026,4/26/2015,05-02-2015,JE-15745,Memphis,FUR-CH-10000513,Furniture,High-Back Leather Manager's Chair,831.936,8,-114.3912
74,US-2015-134026,4/26/2015,05-02-2015,JE-15745,Memphis,FUR-FU-10003708,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,1.213
75,US-2015-134026,4/26/2015,05-02-2015,JE-15745,Memphis,OFF-ST-10004123,Office Supplies,Safco Industrial Wire Shelving System,72.784,1,-18.196
76,US-2017-118038,12-09-2017,12-11-2017,KB-16600,Houston,OFF-BI-10004182,Office Supplies,Economy Binders,1.248,3,-1.9344
77,US-2017-118038,12-09-2017,12-11-2017,KB-16600,Houston,FUR-FU-10000260,Furniture,"6"" Cubicle Wall Clock, Black",9.708,3,-5.8248
78,US-2017-118038,12-09-2017,12-11-2017,KB-16600,Houston,OFF-ST-10000615,Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,2.724
79,US-2014-147606,11/26/2014,12-01-2014,JE-15745,Houston,FUR-FU-10003194,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,-14.475
80,CA-2016-127208,06-12-2016,6/15/2016,SC-20770,Decatur,OFF-AP-10002118,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,56.2032
81,CA-2016-127208,06-12-2016,6/15/2016,SC-20770,Decatur,OFF-BI-10002309,Office Supplies,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,8.0352
82,CA-2014-139451,10-12-2014,10/16/2014,DN-13690,San Francisco,OFF-AR-10002053,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,4.172
83,CA-2014-139451,10-12-2014,10/16/2014,DN-13690,San Francisco,OFF-ST-10002370,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,6.2031
84,CA-2015-149734,09-03-2015,09-08-2015,JC-16105,Durham,OFF-EN-10000927,Office Supplies,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,62.8075
85,US-2017-119662,11/13/2017,11/16/2017,CS-12400,Chicago,OFF-ST-10003656,Office Supplies,Safco Industrial Wire Shelving,230.376,3,-48.9549
86,CA-2017-140088,5/28/2017,5/30/2017,PO-18865,Columbia,FUR-CH-10000863,Furniture,Novimex Swivel Fabric Task Chair,301.96,2,33.2156
87,CA-2017-155558,10/26/2017,11-02-2017,PG-18895,Rochester,TEC-AC-10001998,Technology,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,6.7966
88,CA-2017-155558,10/26/2017,11-02-2017,PG-18895,Rochester,OFF-LA-10000134,Office Supplies,Avery 511,6.16,2,2.9568
89,CA-2016-159695,04-05-2016,04-10-2016,GM-14455,Houston,OFF-ST-10003442,Office Supplies,Eldon Portable Mobile Manager,158.368,7,13.8572
90,CA-2016-109806,9/17/2016,9/22/2016,JS-15685,Los Angeles,OFF-AR-10004930,Office Supplies,Turquoise Lead Holder with Pocket Clip,20.1,3,6.633
91,CA-2016-109806,9/17/2016,9/22/2016,JS-15685,Los Angeles,TEC-PH-10004093,Technology,Panasonic Kx-TS550,73.584,2,8.2782
92,CA-2016-109806,9/17/2016,9/22/2016,JS-15685,Los Angeles,OFF-PA-10000304,Office Supplies,Xerox 1995,6.48,1,3.1104
93,CA-2015-149587,1/31/2015,02-05-2015,KB-16315,Minneapolis,OFF-PA-10003177,Office Supplies,Xerox 1999,12.96,2,6.2208
94,CA-2015-149587,1/31/2015,02-05-2015,KB-16315,Minneapolis,FUR-FU-10003799,Furniture,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,16.5354
95,CA-2015-149587,1/31/2015,02-05-2015,KB-16315,Minneapolis,OFF-BI-10002852,Office Supplies,Ibico Standard Transparent Covers,32.96,2,16.1504
96,US-2017-109484,11-06-2017,11-12-2017,RB-19705,Portland,OFF-BI-10004738,Office Supplies,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,-3.788
97,CA-2017-161018,11-09-2017,11-11-2017,PN-18775,New York City,FUR-FU-10000629,Furniture,9-3/4 Diameter Round Wall Clock,96.53,7,40.5426
98,CA-2017-157833,6/17/2017,6/20/2017,KD-16345,San Francisco,OFF-BI-10001721,Office Supplies,Trimflex Flexible Post Binders,51.312,3,17.9592
99,CA-2016-149223,09-06-2016,09-11-2016,ER-13855,Saint Paul,OFF-AP-10000358,Office Supplies,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,22.5852
100,CA-2016-158568,8/29/2016,09-02-2016,RB-19465,Chicago,OFF-PA-10003256,Office Supplies,Avery Personal Creations Heavyweight Cards,64.624,7,22.6184
101,CA-2016-158568,8/29/2016,09-02-2016,RB-19465,Chicago,TEC-AC-10001767,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,-10.7973
102,CA-2016-158568,8/29/2016,09-02-2016,RB-19465,Chicago,OFF-BI-10002609,Office Supplies,Avery Hidden Tab Dividers for Binding Systems,1.788,3,-3.0396
103,CA-2016-129903,12-01-2016,12-04-2016,GZ-14470,Rochester,OFF-PA-10004040,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,11.7208
104,US-2015-156867,11/13/2015,11/17/2015,LC-16870,Aurora,TEC-AC-10001552,Technology,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,-26.8758
105,US-2015-156867,11/13/2015,11/17/2015,LC-16870,Aurora,FUR-FU-10004006,Furniture,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,-3.8385
106,US-2015-156867,11/13/2015,11/17/2015,LC-16870,Aurora,OFF-BI-10002794,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,-25.8174
107,CA-2017-119004,11/23/2017,11/28/2017,JM-15250,Charlotte,TEC-AC-10003499,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,17.6016
108,CA-2017-119004,11/23/2017,11/28/2017,JM-15250,Charlotte,TEC-PH-10002844,Technology,Speck Products Candyshell Flip Case,27.992,1,2.0994
109,CA-2017-119004,11/23/2017,11/28/2017,JM-15250,Charlotte,OFF-AR-10000390,Office Supplies,Newell Chalk Holder,3.304,1,1.0738
110,CA-2015-129476,10/15/2015,10/20/2015,PA-19060,Orland Park,TEC-AC-10000844,Technology,Logitech Gaming G510s - Keyboard,339.96,5,67.992
111,CA-2017-146780,12/25/2017,12/30/2017,CV-12805,New York City,FUR-FU-10001934,Furniture,Magnifier Swing Arm Lamp,41.96,2,10.9096
112,CA-2016-128867,11-03-2016,11-10-2016,CL-12565,Urbandale,OFF-AR-10000380,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,22.788
113,CA-2016-128867,11-03-2016,11-10-2016,CL-12565,Urbandale,OFF-BI-10003981,Office Supplies,"Avery Durable Plastic 1"" Binders",27.24,6,13.3476
